,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
319,RYI,Ryerson Holding Corporation,1.05B,-1.54%,163180,5.11B
320,TDCX,TDCX Inc.,1.05B,0.21%,2877882,498.75M
321,TGI,"Triumph Group, Inc.",1.04B,-3.39%,467804,1.36B
322,THR,"Thermon Group Holdings, Inc.",1.03B,-2.14%,227520,489.46M
323,SP,SP Plus Corporation,1.02B,0.04%,43617,1.78B
324,HY,"Hyster-Yale Materials Handling, Inc.",1.02B,1.79%,121968,4.12B
325,BXC,BlueLinx Holdings Inc.,1.01B,0.74%,43406,3.14B
326,TRNS,"Transcat, Inc.",991.07M,-2.69%,35473,250.64M
327,CRAI,"CRA International, Inc.",987.37M,-1.22%,15511,623.98M
328,CPLP,Capital Product Partners L.P.,982.72M,1.12%,16297,360.59M
329,GRC,The Gorman-Rupp Company,969.55M,0.27%,55652,659.51M
330,REVG,"REV Group, Inc.",967.25M,-0.22%,1256785,2.64B
331,BV,"BrightView Holdings, Inc.",962.88M,0.78%,669057,2.79B
332,ECO,Okeanis Eco Tankers Corp.,956.81M,-0.93%,72756,413.10M
333,HRT,HireRight Holdings Corporation,954.39M,0.35%,211187,721.88M
334,AZUL,Azul S.A.,932.65M,1.63%,1716877,3.01B
335,HTLD,"Heartland Express, Inc.",929.63M,-1.96%,315232,1.21B
336,EH,EHang Holdings Limited,928.23M,0.85%,7538423,16.56M
337,ASTE,"Astec Industries, Inc.",924.29M,-1.55%,100489,1.34B
338,ULH,"Universal Logistics Holdings, Inc.",906.15M,-1.96%,34442,1.66B
339,TWI,"Titan International, Inc.",902.16M,-0.16%,168553,1.82B
340,TH,Target Hospitality Corp.,895.63M,-2.47%,529511,563.61M
341,MATW,Matthews International Corporation,884.87M,-1.87%,102630,1.88B
342,KELYB,"Kelly Services, Inc.",878.31M,0.43%,254,4.84B
343,PCT,"PureCycle Technologies, Inc.",877.55M,5.43%,1973255,-
344,GNK,Genco Shipping & Trading Limited,872.56M,-0.78%,593479,383.83M
345,PRLB,"Proto Labs, Inc.",864.00M,-1.67%,114524,503.88M
346,FWRD,Forward Air Corporation,862.63M,-5.03%,1290731,1.37B
347,KELYA,"Kelly Services, Inc.",860.03M,-2.25%,225397,4.84B
348,SKYH,Sky Harbour Group Corporation,857.32M,-0.15%,27236,5.95M
349,KRNT,Kornit Digital Ltd.,850.77M,1.23%,302564,219.79M
